n,time
3333,27
6666,40
9999,53
13332,80
16665,711
19998,571
23331,919
26664,1148
29997,787
33330,601
36663,701
39996,718
43329,974
46662,453
49995,1502
53328,2829
56661,530
59994,813
63327,1886
66660,2079
69993,2034
73326,2600
76659,3722
79992,1984
83325,2607
86658,6695
89991,2828
93324,2978
96657,3091
99990,7262
