n,time
3333,15
6666,39
9999,60
13332,160
16665,577
19998,253
23331,901
26664,838
29997,983
33330,1790
36663,1144
39996,1009
43329,1084
46662,2309
49995,1602
53328,1357
56661,1714
59994,2236
63327,2428
66660,1979
69993,3460
73326,1893
76659,3557
79992,5863
83325,2928
86658,5110
89991,4945
93324,3794
96657,6454
99990,4468
