n,time
3333,12
6666,36
9999,98
13332,82
16665,299
19998,421
23331,410
26664,1595
29997,1919
33330,2308
36663,1113
39996,701
43329,1042
46662,1950
49995,1326
53328,1089
56661,3137
59994,3318
63327,1546
66660,2874
69993,5460
73326,3075
76659,3042
79992,5675
83325,4807
86658,2940
89991,6998
93324,4803
96657,6404
99990,2644
