n,time
3333,43
6666,35
9999,99
13332,127
16665,564
19998,514
23331,906
26664,839
29997,577
33330,1349
36663,1020
39996,1809
43329,1220
46662,731
49995,1170
53328,1051
56661,933
59994,1694
63327,3100
66660,1470
69993,1607
73326,3385
76659,2010
79992,1781
83325,3638
86658,5245
89991,3862
93324,5017
96657,5155
99990,4476
