n,time
3333,42563
6666,252211
9999,869552
13332,1733001
16665,3236007
19998,5530876
23331,8347264
26664,11854500
29997,16468074
33330,20635933
36663,25459450
39996,31337862
43329,37614603
46662,45132925
49995,52155020
53328,65687357
56661,71515210
59994,83551381
63327,95009094
66660,108055685
69993,142026871
73326,174128841
76659,176414843
79992,175282768
83325,192704253
86658,220729311
89991,250781632
93324,248908682
96657,299492337
99990,327517544
